level_id,sequence,origin,pack,board,difficulty,primary_mechanic,generator_version,seed,profile,solution_length,solution_count,solution_capped,valid_first_actions,explored_states,average_branching,magnet_actions,polarity_flips,difficulty_score,fingerprint,attempts,rejected_before_acceptance
proto-001,1,HANDCRAFTED,field-basics,4x4,INTRO,MOVEMENT,authored,authored,handcrafted,1,1,false,1,2,1.00,0,0,8,sha256:a4a91352bc71bba6724bdef88df76b7f665db870ee07ffba435bd2132cc37671,0,0
proto-002,2,HANDCRAFTED,field-basics,4x4,INTRO,MOVEMENT,authored,authored,handcrafted,2,1,false,1,3,1.00,0,0,18,sha256:6b97688e15810d264ebf6073d3180bae64b3d90cf691dd0c85af907746c166db,0,0
proto-003,3,HANDCRAFTED,field-basics,5x5,INTRO,PULL,authored,authored,handcrafted,1,1,false,1,2,1.00,1,1,22,sha256:0c27c20457ba64afc7fd8498c5a4114ea2668447e5625192a69afa72d02f4efd,0,0
proto-004,4,HANDCRAFTED,field-basics,5x5,INTRO,PUSH,authored,authored,handcrafted,1,1,false,1,2,1.00,1,1,22,sha256:32ed043e342691046c84fe97aeebd579795024cadd1ed3418b1c0d729ad3e0ab,0,0
proto-005,5,HANDCRAFTED,field-basics,5x5,INTRO,PULL,authored,authored,handcrafted,2,2,false,2,4,1.50,2,2,36,sha256:9eb17aa105aed6f83bb4904c56d3e81f100063f7b2bda53c3dc75a1fefc95e9e,0,0
proto-006,6,HANDCRAFTED,field-basics,5x5,INTRO,PULL,authored,authored,handcrafted,2,1,false,1,4,1.50,2,2,38,sha256:7c35191697432daa26b7dba7ce68525db64d947d2de9ad06bfc6dffa965dc1f6,0,0
proto-007,7,HANDCRAFTED,field-basics,5x5,INTRO,PULL,authored,authored,handcrafted,2,1,false,1,3,1.00,2,2,40,sha256:924f1f2c3af72fda996aa67aa1b9aaef9934698d71889fdc65b030e4349e8974,0,0
proto-008,8,HANDCRAFTED,field-basics,5x5,INTRO,PULL,authored,authored,handcrafted,1,1,false,1,2,1.00,0,0,22,sha256:bc031205cce4f34b8fc84edbf72ff5da871435d6ba515aa8c4d7a11d2c797095,0,0
proto-009,9,HANDCRAFTED,field-basics,5x5,INTRO,PULL,authored,authored,handcrafted,3,2,false,2,7,1.67,3,3,53,sha256:293f04931a3da518ad913786a7822789480beddc3a7babb937c00229d438edd0,0,0
proto-010,10,HANDCRAFTED,field-basics,6x6,DEVELOPING,PULL,authored,authored,handcrafted,3,2,false,2,5,1.33,2,2,46,sha256:d84fc05081fd18202e5760b74f72f994be3a8d6da09c679caaca7a1c2d43cbd4,0,0
proto-011,11,HANDCRAFTED,field-basics,5x5,DEVELOPING,PULL,authored,authored,handcrafted,2,1,false,1,3,1.00,2,2,41,sha256:10e407e4886069343276283e4b37b016b581bf0db1ff5d2d8adf020d0ad9aa50,0,0
proto-012,12,HANDCRAFTED,field-basics,7x7,ADVANCED,PULL,authored,authored,handcrafted,4,4,false,2,15,2.25,4,4,67,sha256:85da95de2be6eded0aeeebc65f54b0eb279eec50e59ed4371cfd8a11b6a088c9,0,0
campaign-013,13,HANDCRAFTED,polarity-workshop,5x5,INTRO,PULL,authored,authored,handcrafted,1,1,false,1,2,1.00,1,1,24,sha256:19805bec1f9bdc6200692f5aeecd96b97a29db7e3772cb36b9707b3fc7ef91be,0,0
campaign-014,14,HANDCRAFTED,polarity-workshop,5x5,INTRO,PUSH,authored,authored,handcrafted,1,1,false,1,2,1.00,1,1,24,sha256:a3f2ce278d2be48909c7016843b125ad79a24cec6bb878408418c819410de6ee,0,0
campaign-015,15,HANDCRAFTED,polarity-workshop,6x6,DEVELOPING,PULL,authored,authored,handcrafted,2,2,false,2,4,1.50,2,2,36,sha256:af67804cb2e5bc772c04b784794dbcb1c2771b7ec197af3290d8be244339970f,0,0
campaign-016,16,HANDCRAFTED,polarity-workshop,6x6,DEVELOPING,PULL,authored,authored,handcrafted,2,1,false,1,4,1.50,2,2,40,sha256:9bed21c8b02583da15393b35421ed5ba752811cf75c175255173b44d674a4804,0,0
campaign-017,17,HANDCRAFTED,polarity-workshop,6x6,DEVELOPING,PULL,authored,authored,handcrafted,2,1,false,1,3,1.00,2,2,40,sha256:91bf45c555afe4b9cebb8c83d9f28b2e796e13b8966d0a9c4cb6751b68a34d6b,0,0
