level_id,campaign_number,v1_score,v1_band,v2_score,v2_band,score_delta,analyzer_version,capped_flags
proto-001,1,8,INTRO,1,Tutorial,-7,magnetrail-difficulty-v2.0,
proto-002,2,18,INTRO,9,Tutorial,-9,magnetrail-difficulty-v2.0,
proto-003,3,22,INTRO,15,Tutorial,-7,magnetrail-difficulty-v2.0,
proto-004,4,22,INTRO,15,Tutorial,-7,magnetrail-difficulty-v2.0,
proto-005,5,36,INTRO,29,Easy,-7,magnetrail-difficulty-v2.0,
proto-006,6,38,INTRO,52,Medium,14,magnetrail-difficulty-v2.0,
proto-007,7,40,INTRO,22,Easy,-18,magnetrail-difficulty-v2.0,
proto-008,8,22,INTRO,8,Tutorial,-14,magnetrail-difficulty-v2.0,
proto-009,9,53,INTRO,61,Hard,8,magnetrail-difficulty-v2.0,
proto-010,10,46,DEVELOPING,33,Normal,-13,magnetrail-difficulty-v2.0,
proto-011,11,41,DEVELOPING,22,Easy,-19,magnetrail-difficulty-v2.0,
proto-012,12,67,ADVANCED,67,Hard,0,magnetrail-difficulty-v2.0,
campaign-013,13,24,INTRO,15,Tutorial,-9,magnetrail-difficulty-v2.0,
campaign-014,14,24,INTRO,15,Tutorial,-9,magnetrail-difficulty-v2.0,
campaign-015,15,36,DEVELOPING,29,Easy,-7,magnetrail-difficulty-v2.0,
campaign-016,16,40,DEVELOPING,52,Medium,12,magnetrail-difficulty-v2.0,
campaign-017,17,40,DEVELOPING,22,Easy,-18,magnetrail-difficulty-v2.0,
campaign-018,18,24,INTRO,8,Tutorial,-16,magnetrail-difficulty-v2.0,
campaign-019,19,55,DEVELOPING,60,Medium,5,magnetrail-difficulty-v2.0,
campaign-020,20,46,DEVELOPING,33,Normal,-13,magnetrail-difficulty-v2.0,
campaign-021,21,43,DEVELOPING,22,Easy,-21,magnetrail-difficulty-v2.0,
campaign-022,22,69,ADVANCED,67,Hard,-2,magnetrail-difficulty-v2.0,
