level_id,campaign_number,seed,profile,generator_version,exact_fingerprint,symmetry_fingerprint,board,arrows,magnets,walls,certified_solution,solution_count,solution_capped,difficulty_score,difficulty_band,quality_score,quality_status,quality_reasons,fatal_choice_ratio,forced_move_ratio,average_branching,maximum_branching,critical_constraints,pull_actions,push_actions,polarity_flips,controller_changes,occlusion_dependencies,cancellation_dependencies,wall_dependencies,visual_congestion,solver_states,generation_certification_ms,essential_analysis_capped,attempts,similarity_neighbors,proposed_curriculum_position
m52-candidate-520002,101,520002,m52-mastery-v1,2,sha256:a9f57511e28b273486b0df32d586be212d64e3d4cf3f996a7006cb23e6694cf4,sha256:ad7f1e92a06a2abc8a6e8f148a1b2f7e77670033a5aa8260f3b00d9b9b636626,7x7,6,2,2,"A+B+C+D+E+F",64,true,70,Hard,95,ACCEPT,"",0.2000,0.1667,3.0000,5,3,2,2,4,1,0,0,0,0.1076,64,11,false,2,"m52-candidate-520033+m52-candidate-520268+m52-candidate-520319",101:reorientation
m52-candidate-520005,102,520005,m52-mastery-v1,2,sha256:c8d9a996fa8ce00ab8375bd8677a43823437f1b43b383358e2ff3b8529319cec,sha256:744b301a9e099cdfd841f270a718967686bf7176370c259cf81b60fac77f1ab8,7x7,6,2,4,"A+B+C+D+E+F",64,true,47,Medium,99,ACCEPT,"",0.0000,0.1667,3.3333,5,0,2,2,4,1,0,0,0,0.1300,48,5,false,1,"m52-candidate-520074+m52-candidate-520077+m52-candidate-520105+m52-candidate-520119+m52-candidate-520185+m52-candidate-520206+m52-candidate-520235+m52-candidate-520311",102:reorientation
m52-candidate-520007,103,520007,m52-advanced-continuation-v1,2,sha256:eb0331df8b283e884044d73881d9ef80cc002dba14a6f8d6ba0122dc0d05afaf,sha256:990b6f410f087ba3a9bdf1b214e9e7ca065180c9e2825210d9d0c3e84b347cd9,7x7,3,1,4,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1173,7,0,false,1,"m52-candidate-520255",103:reorientation
m52-candidate-520011,104,520011,m52-mastery-v1,2,sha256:63cdff2823cd7d56f8ea82b2b50e2548710f381a4a7c94c04e5944f49a6a03a2,sha256:30a3a17a7805bccb8ee481f19172bfaf578c5d1c1694eebd5364cbe253d67540,7x7,6,2,7,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1721,64,5,false,2,"m52-candidate-520170+m52-candidate-520218+m52-candidate-520227+m52-candidate-520252",104:reorientation
m52-candidate-520014,105,520014,m52-mastery-v1,2,sha256:9e347d30a593a183ed4b386da6be4ce6419a595b5b15cf52122a456cab8259fd,sha256:daaf68ade1308ef9ab956abf1f4e1c1eb6615cce4118bb62dc7c4dae24a2745d,7x7,6,2,4,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1376,64,5,false,2,"m52-candidate-520024+m52-candidate-520026+m52-candidate-520062+m52-candidate-520083+m52-candidate-520103+m52-candidate-520152+m52-candidate-520200+m52-candidate-520211+m52-candidate-520257+m52-candidate-520272+m52-candidate-520328+m52-candidate-520338",105:reorientation
m52-candidate-520017,106,520017,m52-mastery-v1,2,sha256:f504e4861436bd73e5c0495bda62d399949fd5a2c2974556b708450b0a411817,sha256:7078a9485dae9937183a34377336dee8d2ab50a75770bad89a669d66f575a23b,7x7,6,2,5,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1487,64,5,false,1,"m52-candidate-520035+m52-candidate-520063+m52-candidate-520065+m52-candidate-520101+m52-candidate-520265+m52-candidate-520344",106:reorientation
m52-candidate-520018,107,520018,m52-advanced-continuation-v1,2,sha256:66af7122d8f8599e6b553fc74171f292d85982e561f66baa37734c5e0d25c72e,sha256:d117dd88fba5fb43a23061d3ab890aacf5ac3521b170b34d33d273243df3db99,7x7,4,1,4,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1057,15,1,false,1,"m52-candidate-520066+m52-candidate-520075",107:reorientation
m52-candidate-520022,108,520022,m52-advanced-continuation-v1,2,sha256:88ce08590f82dd82f69868abf5ce40c67ce87144451132358164e10af4cdf7cb,sha256:9ab4f2cf4c2143f9078b5f1407c8090457b49d2f27733a79eb9889d1c4b5bd61,7x7,6,2,6,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1484,64,4,false,1,"m52-candidate-520032+m52-candidate-520177+m52-candidate-520266+m52-candidate-520269+m52-candidate-520299+m52-candidate-520314",108:reorientation
m52-candidate-520023,109,520023,m52-mastery-v1,2,sha256:71ef1f0b5db54df04b48a68836b21cb1f07fdd7b09b5e7a72c2f8d4d3ff915eb,sha256:67435fc07b0e670128dbe28b1b730dc9c094e02266d67565665a90f0827b9f3d,7x7,6,2,3,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1304,64,3,false,1,"m52-candidate-520080+m52-candidate-520092+m52-candidate-520113+m52-candidate-520260+m52-candidate-520289",109:reorientation
m52-candidate-520024,110,520024,m52-advanced-continuation-v1,2,sha256:ed32f1b9b42b1475e597ca0947f83de4c3ccf7d0bba6d97594a2f11415beb7dc,sha256:3bed00557dfc1649c76c6b35263686a1853db4f0db7aa668b1030b171dfd6032,7x7,6,2,4,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1376,64,5,false,1,"m52-candidate-520014+m52-candidate-520026+m52-candidate-520062+m52-candidate-520083+m52-candidate-520103+m52-candidate-520152+m52-candidate-520200+m52-candidate-520211+m52-candidate-520257+m52-candidate-520272+m52-candidate-520328+m52-candidate-520338",110:reorientation
