level_id,campaign_number,seed,profile,generator_version,exact_fingerprint,symmetry_fingerprint,board,arrows,magnets,walls,certified_solution,solution_count,solution_capped,difficulty_score,difficulty_band,quality_score,quality_status,quality_reasons,fatal_choice_ratio,forced_move_ratio,average_branching,maximum_branching,critical_constraints,pull_actions,push_actions,polarity_flips,controller_changes,occlusion_dependencies,cancellation_dependencies,wall_dependencies,visual_congestion,solver_states,generation_certification_ms,essential_analysis_capped,attempts,campaign_role,design_rationale,before_fingerprint,approval_status
campaign-101,101,520250,m52-advanced-continuation-v1,2,sha256:e7d54fb4d6f48b391034ae3b926af155647a2875eeaa88396371c63b0bbd864e,sha256:f09201cc2f10026c04cead26a0b4b155ab4880aef40c085b16dbfdda41ab60e5,7x7,5,2,7,"A+B+C+D+E",60,false,38,Normal,98,ACCEPT,"",0.0000,0.2000,2.8000,4,0,1,0,1,0,0,1,0,0.2121,24,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:e7d54fb4d6f48b391034ae3b926af155647a2875eeaa88396371c63b0bbd864e,APPROVED
campaign-102,102,520033,m52-advanced-continuation-v1,2,sha256:35f345d41ce32c74179ad1603140266a6c8c99fa2a6d62148525205c63fd5f15,sha256:d73f6374cc325adc77a7514c2c4f8fc7428b5e4d2c8690b736d127a1cdfb0498,7x7,6,2,2,"A+B+C+D+E+F",64,true,45,Normal,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,1,2,3,1,1,0,1,0.1132,64,3,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:35f345d41ce32c74179ad1603140266a6c8c99fa2a6d62148525205c63fd5f15,APPROVED
campaign-103,103,520014,m52-mastery-v1,hand-tuned,sha256:64e5f5d8a918aa4e2ca3f59094d4cbbea11afeea6a8d3723cd0aa70e3e15867d,sha256:e1a4a32b7355a76bc58433da1b4178bbf7f61d0e3ded17b018597cad21e1c8fb,7x7,6,2,6,"A+B+D+C+E+F",64,true,49,Medium,98,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1593,48,5,false,1,BUILD,"Hand-tuned wall geometry makes a controller change legible without adding a new mechanic.",sha256:9e347d30a593a183ed4b386da6be4ce6419a595b5b15cf52122a456cab8259fd,APPROVED
campaign-104,104,520340,m52-advanced-continuation-v1,2,sha256:d31387fb3994c773646f00e947c214f472317e727fbdb41dbc4710c6dd7536ad,sha256:0b500eb24ec3b6b114c2320acd98b7ae4771696a13b214a342edbbd442223fa9,7x7,4,1,3,"A+B+C+D",8,false,59,Medium,95,ACCEPT,"",0.2000,0.2500,2.0000,3,1,2,1,3,0,1,0,1,0.1173,14,1,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:d31387fb3994c773646f00e947c214f472317e727fbdb41dbc4710c6dd7536ad,APPROVED
campaign-105,105,520018,m52-advanced-continuation-v1,hand-tuned,sha256:0371a2960b8f7ebb29cdefd627dd535aed03e8ec61823c0d974a815d098a77bd,sha256:db1426bb2bfcc5cd0ce9a4fd4af6177072e5ad99dc9da7689de32a4b58f6a268,7x7,4,1,6,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1259,15,1,false,1,PEAK,"Hand-tuned as a fair checkpoint with a readable critical ordering dependency.",sha256:66af7122d8f8599e6b553fc74171f292d85982e561f66baa37734c5e0d25c72e,APPROVED
campaign-106,106,520076,m52-advanced-continuation-v1,2,sha256:e93b1301d5e557aac538799ed4448ef3cb519fba96ba05b69b48ea84eb562898,sha256:1cb414e6802beac6cb390f27a908bc39e1105ae7fcf53e849af5fa7536019f40,6x6,3,1,5,"B+A+C",2,false,60,Medium,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1528,7,0,false,1,RECOVERY,"Selected from the deterministic advanced pool for recovery pacing.",sha256:e93b1301d5e557aac538799ed4448ef3cb519fba96ba05b69b48ea84eb562898,APPROVED
campaign-107,107,520005,m52-mastery-v1,2,sha256:c8d9a996fa8ce00ab8375bd8677a43823437f1b43b383358e2ff3b8529319cec,sha256:744b301a9e099cdfd841f270a718967686bf7176370c259cf81b60fac77f1ab8,7x7,6,2,4,"A+B+C+D+E+F",64,true,47,Medium,99,ACCEPT,"",0.0000,0.1667,3.3333,5,0,2,2,4,1,0,0,0,0.1300,48,5,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:c8d9a996fa8ce00ab8375bd8677a43823437f1b43b383358e2ff3b8529319cec,APPROVED
campaign-108,108,520058,m52-advanced-continuation-v1,2,sha256:1ff5c56372c16477c64f93f8250bf47ae84a68c1cae578325c90aed0c5b4f32d,sha256:822f53669446c09719bfb74fecef98e8afe8349c443fff0359519b8b438832e5,7x7,6,2,5,"A+B+C+D+E+F",64,true,49,Medium,99,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1455,48,2,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:1ff5c56372c16477c64f93f8250bf47ae84a68c1cae578325c90aed0c5b4f32d,APPROVED
campaign-109,109,520007,m52-advanced-continuation-v1,hand-tuned,sha256:01686557807a129242eff488fa8d65660a15ca4b91b31acb39b2d86275ec2ed7,sha256:a775029f77cb08d87a6d65b948cdb451208ae96374bda8e89efea7fa1e5248d0,7x7,3,1,6,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1298,7,0,false,1,BUILD,"Hand-tuned as a fair checkpoint with a readable critical ordering dependency.",sha256:eb0331df8b283e884044d73881d9ef80cc002dba14a6f8d6ba0122dc0d05afaf,APPROVED
campaign-110,110,520127,m52-advanced-continuation-v1,hand-tuned,sha256:05d8178f190381a2a0574e5a91a0e46da3f50e1c47968285ea22ebe0889ebbc9,sha256:f8e1ad3d016bf21ad9a9c1c13056646ab73898e17fde3dab704d4c8c68c1660e,7x7,6,2,7,"B+A+C+D+E+F",64,true,70,Hard,94,ACCEPT,"",0.2143,0.1667,2.8333,4,3,2,2,4,1,0,0,0,0.1673,48,1,false,1,PEAK,"Hand-tuned wall geometry makes a controller change legible without adding a new mechanic.",sha256:19e2c48615e03fd1bb5b3386324e1066f3c86b17081d02bec7311829c7ad42a1,APPROVED
