level_id,campaign_number,status,reviewer,notes
campaign-101,101,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-102,102,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-103,103,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-104,104,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-105,105,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-106,106,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-107,107,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-108,108,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-109,109,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-110,110,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-111,111,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-112,112,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-113,113,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-114,114,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-115,115,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-116,116,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-117,117,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-118,118,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-119,119,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-120,120,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-121,121,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-122,122,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-123,123,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-124,124,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-125,125,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-126,126,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-127,127,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-128,128,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-129,129,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-130,130,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-131,131,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-132,132,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-133,133,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-134,134,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-135,135,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-136,136,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-137,137,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-138,138,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-139,139,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-140,140,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-141,141,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-142,142,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-143,143,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-144,144,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-145,145,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-146,146,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-147,147,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-148,148,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-149,149,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
campaign-150,150,APPROVED,Project Owner,Explicit owner approval recorded in conversation on 2026-08-19
