level_id,source,target,interaction_type,interaction_density,connected_components,largest_component
"d2-v5-tutorial-001","arrow:a1","arrow:a2","ALTERNATIVE_PATH","0.3333","3","4"
"d2-v5-tutorial-001","arrow:a1","arrow:a3","OCCLUSION","0.3333","3","4"
"d2-v5-tutorial-001","arrow:a1","arrow:a3","ROUTE_BLOCK","0.3333","3","4"
"d2-v5-tutorial-001","arrow:a1","arrow:a3","EXPOSURE","0.3333","3","4"
"d2-v5-tutorial-001","arrow:a1","arrow:a3","STATE_DEPENDENCY","0.3333","3","4"
"d2-v5-tutorial-001","arrow:a1","arrow:a3","REVEAL","0.3333","3","4"
"d2-v5-tutorial-001","arrow:a2","arrow:a3","ALTERNATIVE_PATH","0.3333","3","4"
"d2-v5-tutorial-001","arrow:a3","arrow:a1","COLLISION","0.3333","3","4"
"d2-v5-tutorial-001","magnet:m1","arrow:a1","MAGNET_CONTROL","0.3333","3","4"
"d2-v5-tutorial-001","magnet:m1","arrow:a3","MAGNET_CONTROL","0.3333","3","4"
"d2-v5-tutorial-001","magnet:m1","arrow:a3","POLARITY_DEPENDENCY","0.3333","3","4"
"d2-v5-tutorial-002","wall:3,2","arrow:a1","OCCLUSION","0.1667","3","2"
"d2-v5-tutorial-003","wall:3,2","arrow:a1","OCCLUSION","0.3333","2","2"
"d2-v5-tutorial-004","arrow:a1","arrow:a2","EXPOSURE","0.4","2","5"
"d2-v5-tutorial-004","arrow:a1","arrow:a2","STATE_DEPENDENCY","0.4","2","5"
"d2-v5-tutorial-004","arrow:a1","arrow:a2","REVEAL","0.4","2","5"
"d2-v5-tutorial-004","arrow:a1","arrow:a2","ALTERNATIVE_PATH","0.4","2","5"
"d2-v5-tutorial-004","arrow:a1","arrow:a3","ALTERNATIVE_PATH","0.4","2","5"
"d2-v5-tutorial-004","arrow:a2","arrow:a1","EXPOSURE","0.4","2","5"
"d2-v5-tutorial-004","arrow:a2","arrow:a1","STATE_DEPENDENCY","0.4","2","5"
"d2-v5-tutorial-004","arrow:a2","arrow:a1","REVEAL","0.4","2","5"
"d2-v5-tutorial-004","arrow:a2","arrow:a3","ALTERNATIVE_PATH","0.4","2","5"
"d2-v5-tutorial-004","magnet:m1","arrow:a1","MAGNET_CONTROL","0.4","2","5"
"d2-v5-tutorial-004","magnet:m1","arrow:a1","POLARITY_DEPENDENCY","0.4","2","5"
