level_id,difficulty_band,grid_size,rows,columns,arrow_count,magnet_count,wall_count,object_density,interaction_density,magnetic_relationship_count,average_magnetic_distance,max_magnetic_distance,line_of_sight_interactions,arrow_vs_arrow_interactions,magnet_cancellation_count,polarity_dependent_decisions,polarity_impact_depth,dependency_edges,dependency_depth,ordering_constraints,meaningful_ordering_rate,safe_choice_ratio,meaningful_failure_rate,harmful_decision_density,recovery_pressure,consequence_depth,consequence_breadth,exposure_reveal_count,controller_changes,object_relevance_score,irrelevant_object_count,greedy_solve_rate,random_success_rate,canonical_strategies,commutation_quotient,permutation_redundancy,v4_score,v4_confidence,quality_score,solver_state_count,truncation_status,pacing_status,exact_fingerprint,symmetry_fingerprint,interaction_fingerprint,dependency_fingerprint
"d2-v5-tutorial-001","TUTORIAL","4x4","4","4","3","1","2","0.375","0.3333","4","1.5","2","3","8","0","2","2","5","2","1","0.3333","1.0","0.0","0.0","0.0","1","1","2","2","0.1937","2","1.0","1.0","1","1","0.6667","0","1.0","84","6","COMPLETE","PASS_STRUCTURAL","sha256:58bb2b5a0dbe153abab1d9fbca5cb1deccaf20e987238f39a85bbf3fc38a3720","sha256:569e3ebab41463e4177ceec87a37247fd067700914d120be17d68a127e6340d9","e375cb1e6e3308f18056c257b1d215b8a4ee4f06347bb0a971d8d238171398af","d12a19752f03c04b7a54010d65ace5c14599e7e0576f16ade9a58aa36c8de827"
"d2-v5-tutorial-002","TUTORIAL","4x4","4","4","1","1","2","0.25","0.1667","0","0.0","0","1","0","0","0","0","0","0","0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0.095","1","1.0","1.0","1","1","0.0","0","1.0","67","2","COMPLETE","PASS_STRUCTURAL","sha256:52cbaca8c41eade39c3e7a019f6349a3ebfb703527a2380fc86b4ff24ed898f9","sha256:b6c702b8b3c9437dfa6fd95881bce6cebaa643222d77b67d25e2fe3620b9ebad","7da75e9b0a783b035daa1da8ff8dbc9fc3ad3e1a130c16846fb869d428db8255","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"d2-v5-tutorial-003","TUTORIAL","3x3","3","3","1","1","1","0.3333","0.3333","0","0.0","0","1","0","0","0","0","0","0","0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0.1267","0","1.0","1.0","1","1","0.0","0","1.0","71","2","COMPLETE","PASS_STRUCTURAL","sha256:7faeb69938cdaed9374ff9648a80dcf554477d87b7923a8d077961a2e2a8ce72","sha256:663904b573259469be14120ef845624bab8d1c566a43c9759502f1272c4d2522","7da75e9b0a783b035daa1da8ff8dbc9fc3ad3e1a130c16846fb869d428db8255","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"d2-v5-tutorial-004","TUTORIAL","4x4","4","4","3","1","2","0.375","0.4","8","1.0","1","3","9","0","4","2","8","3","0","0.0","1.0","0.0","0.0","0.0","3","1","4","0","0.3347","1","1.0","1.0","1","1","0.8333","0","1.0","89","8","COMPLETE","PASS_STRUCTURAL","sha256:ab674af044c508798e4a147973857ea77b9d895f24cfd2adbeb13826a2989be6","sha256:4a47b0386fcdffbe642edab0248839a96c4144a6c4a7b8e2a5904a75505e020b","c208322bc9b03dd52fe89e1a390dc00c260f34a76bac1c0f424ba72f9ce53302","e7f6a4869a2d250104e21f01b1ba30d76e03592289cfc349d20ccfbdb0df574a"
"d2-v5-tutorial-005","TUTORIAL","3x3","3","3","1","2","0","0.3333","0.3333","0","0.0","0","0","0","1","0","0","0","0","0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0.22","0","1.0","1.0","1","1","0.0","0","1.0","78","2","COMPLETE","PASS_STRUCTURAL","sha256:d1f99eb56ec858c6e1a1cf907ce6d5c8ebbf1900e1b5456f388e82be9c255f25","sha256:a7cfa992dca81bd2ff5fb743a79a5c2bbf29c9561c07b159f940d507c89d6236","0e50931dfa97569e2e5d730b1fdb9d6e532fbf755c17189fc0a0437f14bed462","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"d2-v5-tutorial-006","TUTORIAL","4x4","4","4","3","1","2","0.375","0.4","4","1.25","2","4","9","0","2","1","10","3","3","1.0","1.0","0.0","0.0","0.0","3","1","4","1","0.473","1","1.0","1.0","1","1","0.0","0","1.0","76","4","COMPLETE","PASS_STRUCTURAL","sha256:a210d388ff7ddc8bc2fee16ca312c824108405f4da121dc66cd200c75c65a0bf","sha256:da536d752b7bd20ad6dbce6f6b16542dcaf6fc59cde4311d8c5e5371fab31dd4","38381ec51ffe336f858daabf42e0b46dee2beb64cf6cae670a85a67af048866d","a1431d80f50a69c7aa75c6a0672480bd2a0c06484d85a712e7ea6cd7cb2a6af4"
"d2-v5-tutorial-007","TUTORIAL","4x4","4","4","2","1","2","0.3125","0.3","4","1.0","1","2","7","0","2","1","8","3","0","0.0","1.0","0.0","0.0","0.0","3","1","4","0","0.3024","2","1.0","1.0","1","1","0.5","0","1.0","81","4","COMPLETE","PASS_STRUCTURAL","sha256:024877a498da91c599ea7e0c20341683546c6f19273f83a7f7e112f4e60c4366","sha256:e099a7cd28665f6f7ccdaced45235da5b45567f7f50c21d0ab35ef1fb1fb30bf","2a52364380e3cbe9a2181212aed793438e2e638e08dc74581a2d852cc7f1c6ff","e7f6a4869a2d250104e21f01b1ba30d76e03592289cfc349d20ccfbdb0df574a"
"d2-v5-tutorial-008","TUTORIAL","4x4","4","4","3","1","2","0.375","0.3333","8","1.0","1","2","9","0","4","2","8","3","0","0.0","1.0","0.0","0.0","0.0","3","1","4","0","0.2261","2","1.0","1.0","1","1","0.8333","0","1.0","86","8","COMPLETE","PASS_STRUCTURAL","sha256:067ff00efbea60bb30c31030ea420de9593fba741b16d54cdf86a2122a75a444","sha256:24cc74bbfc7d549f1456acdb1ed953e6b83951dfee69f7a82b8c277d3b3f4abd","c749f467bc9cd98db50145d330fa59e7ec37caa5fe418c8307f83d2878fbe275","e7f6a4869a2d250104e21f01b1ba30d76e03592289cfc349d20ccfbdb0df574a"
"d2-v5-tutorial-009","TUTORIAL","4x4","4","4","3","1","2","0.375","0.4","4","1.25","2","4","9","0","2","1","10","3","3","1.0","1.0","0.0","0.0","0.0","3","1","4","1","0.473","1","1.0","1.0","1","1","0.0","0","1.0","79","4","COMPLETE","PASS_STRUCTURAL","sha256:d50e03eb712b3fda5ce234d387f8649c55c5b6438d7d3f96e9bb0053a1133c2d","sha256:f8232f605b4ad7169fff655f79129fb4ff70bde0209485f1f511cf0aaae3e285","836c3ce4721055880dc9953786af6cd6a633b9a6434ab481fcab4a19b885f5ea","fb32c825f9c1228d0171b612596e6eac4331491526119ccbac666870304f2833"
"d2-v5-tutorial-010","TUTORIAL","4x4","4","4","2","0","2","0.25","0.1667","0","0.0","0","0","5","0","0","0","4","2","1","1.0","1.0","0.0","0.0","0.0","1","1","2","0","0.115","2","1.0","1.0","1","1","0.0","0","1.0","72","3","COMPLETE","PASS_STRUCTURAL","sha256:2b5359d5ba97b0ab1ff9b18d94a14fa8825e37879425486ee899194ad83d54af","sha256:8d26e08c0d427366c89f67aba1f4e3f55fe606956c76ecd2e1f80342304bdb21","119d45499289db1945c64df10965402d8984fa7d8f4dbe7268ccdbc8e9659cab","7e75fac008bd89aa81b1bbcd7ae4ff9d85055e8ff42f6dc95619d79c22d9a023"
