level_id,object_key,object_type,relevance_class,relevance_score,solvability_changed,winning_first_action_change,strategy_family_change,dependency_graph_change,polarity_transition_change,meaningful_decision_change,ordering_constraint_change,line_of_sight_change,cancellation_change,route_structure_change,analysis_complete
"d2-v5-tutorial-001","arrow:a1","ARROW","HIGH","0.5244","false","0.5","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-001","arrow:a2","ARROW","LOW","0.1111","false","0.0","0.5","0.0","0.5","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-001","arrow:a3","ARROW","MEDIUM","0.29","false","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-001","magnet:m1","MAGNET","MEDIUM","0.2367","false","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","true"
"d2-v5-tutorial-001","wall:1,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-001","wall:3,1","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-002","arrow:a1","ARROW","MEDIUM","0.13","false","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-002","magnet:m1","MAGNET","LOW","0.1","false","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","true"
"d2-v5-tutorial-002","wall:3,2","WALL","MEDIUM","0.15","false","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","true"
"d2-v5-tutorial-002","wall:3,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-003","arrow:a1","ARROW","MEDIUM","0.13","false","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-003","magnet:m1","MAGNET","LOW","0.1","false","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","true"
"d2-v5-tutorial-003","wall:3,2","WALL","MEDIUM","0.15","false","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","true"
"d2-v5-tutorial-004","arrow:a1","ARROW","HIGH","0.4967","false","0.0","0.3333","1.0","1.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-004","arrow:a2","ARROW","HIGH","0.4967","false","0.0","0.3333","1.0","1.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-004","arrow:a3","ARROW","LOW","0.1017","false","0.0","0.3333","0.0","0.5","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-004","magnet:m1","MAGNET","HIGH","0.59","false","0.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","true"
"d2-v5-tutorial-004","wall:2,1","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-004","wall:2,2","WALL","MEDIUM","0.3231","false","0.0","0.0","0.619","0.6667","0.5","0.0","0.3333","0.0","0.6667","true"
"d2-v5-tutorial-005","arrow:a1","ARROW","MEDIUM","0.24","false","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","true"
"d2-v5-tutorial-005","magnet:m1","MAGNET","MEDIUM","0.21","false","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","true"
"d2-v5-tutorial-005","magnet:m2","MAGNET","MEDIUM","0.21","false","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","true"
"d2-v5-tutorial-006","arrow:a1","ARROW","MEDIUM","0.2605","false","0.5","0.5","0.5","0.0","0.0","0.0","0.0","0.0","0.5","true"
"d2-v5-tutorial-006","arrow:a2","ARROW","MEDIUM","0.31","false","0.5","0.5","0.75","0.0","0.0","0.0","0.0","0.0","0.5","true"
"d2-v5-tutorial-006","arrow:a3","ARROW","CRITICAL","1.0","true","0.0","1.0","0.7143","1.0","1.0","0.0","0.3333","0.0","0.3333","true"
"d2-v5-tutorial-006","magnet:m1","MAGNET","CRITICAL","1.0","true","1.0","1.0","0.75","1.0","1.0","0.0","1.0","0.0","0.5","true"
"d2-v5-tutorial-006","wall:1,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-006","wall:4,4","WALL","MEDIUM","0.2678","false","0.5","0.5","0.4375","0.5","0.0","0.0","0.0","0.0","0.4","true"
"d2-v5-tutorial-007","arrow:a1","ARROW","HIGH","0.51","false","0.0","0.5","1.0","1.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-007","arrow:a2","ARROW","HIGH","0.51","false","0.0","0.5","1.0","1.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-007","magnet:m1","MAGNET","HIGH","0.4922","false","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","true"
