levelId,levelNumber,title,boardSize,arrowCount,magnetCount,wallCount,plausibleChoiceCount,immediatelyInvalidChoiceCount,successfulChoiceCount,safeSuccessfulChoiceCount,meaningfulSuccessfulChoiceCount,harmfulDecisionCount,meaningfulFailureRate,harmfulDecisionDensity,mandatoryOrderingPairCount,mandatoryOrderingRatio,mandatoryOrderingChainDepth,polarityFlipCount,strategicallyImpactfulPolarityFlipCount,polarityImpactRatio,rawWinningSequenceCount,canonicalStrategyCount,permutationRedundancy,commutationRatio,greedySolved,greedyFailureDepth,randomPolicyCompletionRate,randomPolicyDeadlockRate,recoveryPressure,maxRecoveryDepth,deadEndDepth,longestForcedRun,meaningfulDecisionCount,decisionDensity,maxDecisionGap,relevantWallCount,irrelevantWallCount,relevantMagnetCount,irrelevantMagnetCount,v3Score,v4Score,v4Confidence,searchComplete,searchStateCount,searchTruncated,truncationReason,metricStatus
proto-001,1,Foundation 01,4x4,3,1,2,9,2,7,7,2,0,0.0,0.0,1,0.3333,2,4,0,0.0,3,1,0.6667,1.0,true,,1.0,0.0,0.0,0,0,1,1,0.3333,2,0,2,0,1,52,0,1.0,true,6,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-002,2,Foundation 02,4x4,1,1,2,1,0,1,1,0,0,0.0,0.0,0,0.0,0,0,0,0.0,1,1,0.0,0.0,true,,1.0,0.0,0.0,0,0,1,0,0.0,1,0,2,0,1,13,0,1.0,true,2,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-003,3,Foundation 03,3x3,1,1,1,1,0,1,1,0,0,0.0,0.0,0,0.0,0,0,0,0.0,1,1,0.0,0.0,true,,1.0,0.0,0.0,0,0,1,0,0.0,1,0,1,0,1,12,0,1.0,true,2,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-004,4,Foundation 04,4x4,3,1,2,12,0,12,12,0,0,0.0,0.0,0,0.0,0,8,0,0.0,6,1,0.8333,1.0,true,,1.0,0.0,0.0,0,0,1,0,0.0,3,0,2,0,1,61,0,1.0,true,8,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-005,5,Foundation 05,3x3,1,2,0,1,0,1,1,0,0,0.0,0.0,0,0.0,0,0,0,0.0,1,1,0.0,0.0,true,,1.0,0.0,0.0,0,0,1,0,0.0,1,0,0,0,2,10,0,1.0,true,2,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-006,6,Foundation 06,4x4,3,1,2,6,3,3,3,0,0,0.0,0.0,3,1.0,3,3,1,0.3333,1,1,0.0,0.0,true,,1.0,0.0,0.0,0,0,3,0,0.0,3,1,1,1,0,20,0,1.0,true,4,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-007,7,Foundation 07,4x4,2,1,2,4,0,4,4,0,0,0.0,0.0,0,0.0,0,4,0,0.0,2,1,0.5,1.0,true,,1.0,0.0,0.0,0,0,1,0,0.0,2,0,2,0,1,43,0,1.0,true,4,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-008,8,Foundation 08,4x4,3,1,2,12,0,12,12,0,0,0.0,0.0,0,0.0,0,8,0,0.0,6,1,0.8333,1.0,true,,1.0,0.0,0.0,0,0,1,0,0.0,3,0,2,1,0,57,0,1.0,true,8,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-009,9,Foundation 09,4x4,3,1,2,6,3,3,3,0,0,0.0,0.0,3,1.0,3,3,1,0.3333,1,1,0.0,0.0,true,,1.0,0.0,0.0,0,0,3,0,0.0,3,1,1,1,0,21,0,1.0,true,4,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-010,10,Foundation 10,4x4,2,0,2,3,1,2,2,0,0,0.0,0.0,1,1.0,2,0,0,0.0,1,1,0.0,0.0,true,,1.0,0.0,0.0,0,0,2,0,0.0,2,0,2,0,0,17,0,1.0,true,3,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-011,11,Foundation 11,4x4,2,2,2,3,1,2,2,0,0,0.0,0.0,1,1.0,2,0,0,0.0,1,1,0.0,0.0,true,,1.0,0.0,0.0,0,0,2,0,0.0,2,0,2,2,0,20,0,1.0,true,3,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
proto-012,12,Foundation 12,4x4,3,0,0,9,2,7,7,2,0,0.0,0.0,1,0.3333,2,0,0,0.0,3,1,0.6667,1.0,true,,1.0,0.0,0.0,0,0,1,1,0.3333,2,0,0,0,0,50,0,1.0,true,6,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-013,13,Magnetic Circuit 013,5x5,4,5,1,24,0,24,20,11,4,0.1667,1.0,1,0.1667,2,12,4,0.3333,12,1,0.9167,1.0,false,1,0.4844,0.5156,0.2778,3,3,1,2,0.5,2,0,1,2,3,80,41,1.0,true,16,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
