number,id,title,board_width,board_height,arrow_count,magnet_count,wall_count,current_difficulty_v3,current_quality_v2,current_quality_status,v3_solution_family_count,v3_meaningful_decision_points,v3_dependency_depth,v3_mechanic_relevance_ratio,v3_unused_empty_space_ratio,v3_irrelevant_entity_ratio,total_solution_length,solution_sequences,meaningful_solution_strategies,solution_permutation_redundancy,canonical_plausible_choices,canonical_immediately_invalid_choices,canonical_viable_choices,canonical_fatal_choices,canonical_meaningful_choice_classes,canonical_consequential_decision_nodes,canonical_harmful_decision_nodes,canonical_effectively_equivalent_choices,canonical_independent_moves,explored_plausible_choices,explored_immediately_invalid_choices,explored_viable_choices,explored_fatal_choices,meaningful_failure_rate,explored_consequential_decision_nodes,explored_harmful_decision_nodes,future_impact_edges,commutative_pairs,viable_choice_pairs,commutative_pair_rate,mandatory_order_pairs,flexible_order_pairs,meaningful_order_strength,canonical_polarity_flips,polarity_material_impacts,polarity_strategic_impacts,polarity_actionability_impacts,polarity_solution_structure_impacts,polarity_impact_rate,decorative_magnets,strategically_relevant_magnets,solvability_essential_magnets,controlled_success_interactions,controlled_failed_interactions,impactful_polarity_magnets,decorative_walls,route_relevant_walls,movement_relevant_walls,visibility_relevant_walls,strategically_relevant_walls,solvability_essential_walls,arrow_occlusion_events,cancellation_events,cancellation_impactful_events,cancellation_fatal_events,cancellation_canonical_events,first_obvious_solve_probability,first_obvious_expected_actions,first_obvious_expected_wrong_actions,first_obvious_expected_restarts,first_obvious_expected_meaningful_setbacks,first_obvious_expected_polarity_mistakes,first_obvious_expected_decision_points,greedy_solve_probability,greedy_expected_actions,greedy_expected_wrong_actions,greedy_expected_restarts,greedy_expected_meaningful_setbacks,greedy_expected_polarity_mistakes,greedy_expected_decision_points,random_successful_solve_probability,random_successful_expected_actions,random_successful_expected_wrong_actions,random_successful_expected_restarts,random_successful_expected_meaningful_setbacks,random_successful_expected_polarity_mistakes,random_successful_expected_decision_points,random_visible_solve_probability,random_visible_expected_actions,random_visible_expected_wrong_actions,random_visible_expected_restarts,random_visible_expected_meaningful_setbacks,random_visible_expected_polarity_mistakes,random_visible_expected_decision_points,shortest_route_solve_probability,shortest_route_expected_actions,shortest_route_expected_wrong_actions,shortest_route_expected_restarts,shortest_route_expected_meaningful_setbacks,shortest_route_expected_polarity_mistakes,shortest_route_expected_decision_points,triviality_classification,mechanic_presence_count,mechanic_interaction_count,claimed_mechanics,interacting_mechanics,primary_ease_reason,canonical_interchangeable_groups
1,proto-001,First release,3,3,1,1,0,10,68,REVIEW,1,0,0,1.000000,0.666700,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PUSH+POLARITY_FLIP,PUSH,Single-action puzzle,
2,proto-002,Clear the blocker,4,4,1,1,0,11,66,REVIEW,1,0,0,1.000000,0.750000,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PUSH+POLARITY_FLIP,PUSH,Single-action puzzle,
3,proto-003,Pull,3,3,1,1,0,11,68,REVIEW,1,0,0,1.000000,0.666700,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PULL+POLARITY_FLIP,PULL,Single-action puzzle,
4,proto-004,Push,4,4,1,1,0,12,66,REVIEW,1,0,0,1.000000,0.750000,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PULL+POLARITY_FLIP,PULL,Single-action puzzle,
5,proto-005,Automatic flip,3,3,1,1,0,10,68,REVIEW,1,0,0,1.000000,0.666700,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PUSH+POLARITY_FLIP,PUSH,Single-action puzzle,
6,proto-006,Order matters,4,4,1,1,0,11,66,REVIEW,1,0,0,1.000000,0.750000,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PUSH+POLARITY_FLIP,PUSH,Single-action puzzle,
7,proto-007,Field occlusion,4,4,1,1,0,12,66,REVIEW,1,0,0,1.000000,0.750000,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PULL+POLARITY_FLIP,PULL,Single-action puzzle,
8,proto-008,Shielded field,3,3,1,1,0,11,68,REVIEW,1,0,0,1.000000,0.666700,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PULL+POLARITY_FLIP,PULL,Single-action puzzle,
9,proto-009,Alternating gates,4,4,1,1,0,11,66,REVIEW,1,0,0,1.000000,0.750000,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PUSH+POLARITY_FLIP,PUSH,Single-action puzzle,
10,proto-010,Reveal the relay,4,4,1,1,0,11,66,REVIEW,1,0,0,1.000000,0.750000,0.000000,1,1,1,0.000000,1,0,1,0,0,0,0,0,0,1,0,1,0,0.000000,0,0,0,0,0,0.000000,0,0,No meaningful ordering,1,0,0,0,0,0.000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Trivial,2,1,PUSH+POLARITY_FLIP,PUSH,Single-action puzzle,
